,person_id,age,gender,employment_status,household_size,household_income,available_vehicles,industry,education,trip_purpose,start_time,primary_mode,duration_minutes,age_group,income_group,predicted_mode,predicted_duration,selection_reason,choice_weights
0,1008394524663602144,41,male,employed,5,165219,two,naics722511,k_12,work,8,public_transit,40-50,35-44,$150k-$200k,private_auto,30-40,"[""I have two vehicles available, so driving is a convenient option. Since I'm employed and have a household of 5, I might need to carpool or use public transit if the distance is too far. The duration could vary depending on traffic, but driving is usually faster than public transit. I might consider biking if the distance is short, but with a household of 5, it's unlikely. Walking is not practical for a work commute. On-demand auto might be an option if I need a ride, but it's more expensive. Public transit is an alternative if driving isn't feasible, but it might take longer.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""30-40"", ""weight"": 0.4}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""40-50"", ""weight"": 0.25}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""30-40"", ""weight"": 0.1}, {""primary_mode"": ""biking"", ""duration_minutes"": ""20-30"", ""weight"": 0.05}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
1,17686081048863139877,57,female,employed,2,195539,one,naics5615,bachelors_degree,eat,11,auto_passenger,10-20,55-64,$150k-$200k,private_auto,10-20,"[""I prefer driving my own car for convenience and reliability, especially with a short trip. Walking is an option if the distance is very short, but I'm more likely to drive. Public transit is less appealing due to time constraints and the availability of a car. Biking is not practical given the distance and weather conditions. On-demand auto might be considered for longer trips, but private auto is more reliable. Other travel modes are unlikely due to the need for a quick meal.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.45}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.2}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""30-40"", ""weight"": 0.15}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""40-50"", ""weight"": 0.1}, {""primary_mode"": ""private_auto"", ""duration_minutes"": ""30-40"", ""weight"": 0.1}]"
2,12380665474442907958,78,male,not_in_labor_force,2,95313,two,not_working,bachelors_degree,eat,16,private_auto,10-20,65+,$50k-$100k,public_transit,30-40,"[""As a 65+ individual with a bachelor's degree and two vehicles available, I prioritize comfort and convenience. Since the target distance is unknown, I'll consider all modes but lean towards private auto for flexibility and comfort. Public transit might be an option if the distance is moderate, but with two vehicles available, private auto is more likely. Walking and biking are less preferred due to age and the unknown distance. On-demand auto is possible but less preferred than private auto. Duration is likely to be moderate as I'm not in a hurry to eat.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.4}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""30-40"", ""weight"": 0.25}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""40-50"", ""weight"": 0.15}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.1}, {""primary_mode"": ""biking"", ""duration_minutes"": ""10-20"", ""weight"": 0.1}]"
3,15124399126571121470,39,female,employed,2,41442,one,naics81,some_college,shop,9,walking,0-10,35-44,$10k-$50k,private_auto,10-20,"[""As a 35-44 year old with a private vehicle, I would likely drive myself if the destination is not too far. Since the target distance is unknown, I might consider driving as the primary mode. However, if the shop is nearby, walking or biking could be viable options. Public transit and on-demand auto are less preferred unless there's a specific reason. The duration depends on the distance, but I would aim for a shorter travel time.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.45}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.25}, {""primary_mode"": ""biking"", ""duration_minutes"": ""10-20"", ""weight"": 0.15}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""30-40"", ""weight"": 0.1}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""10-20"", ""weight"": 0.05}]"
4,18162470860445288605,8,female,under_16,5,196713,two,not_working,k_12,home,15,auto_passenger,0-10,Under 18,$150k-$200k,private_auto,30-40,"[""The household has two vehicles, so private auto is a strong option for a family of five. However, the target distance is unknown, so I'll assume a moderate distance. Since it's a weekday and the time is 15:00, traffic might be moderate. The family might prefer the private auto for convenience and comfort, especially with multiple children. Public transit is less likely due to the need to transport multiple people and the potential for long wait times. Walking and biking are not practical for a family of five over a moderate distance. On-demand auto could be an option if the family prefers a more flexible, but less reliable, service. The duration would depend on the distance, but assuming a moderate distance, the trip might take around 30-40 minutes.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""30-40"", ""weight"": 0.4}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""40-50"", ""weight"": 0.25}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""50-60"", ""weight"": 0.15}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""20-30"", ""weight"": 0.1}, {""primary_mode"": ""walking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}, {""primary_mode"": ""biking"", ""duration_minutes"": ""0-10"", ""weight"": 0.05}]"
5,15220852951598950010,58,female,not_in_labor_force,2,320964,two,not_working,advanced_degree,shop,10,private_auto,10-20,55-64,$300k+,private_auto,20-30,"[""As someone in the 55-64 age group with an advanced degree and a high income, I would prioritize convenience and comfort. With two vehicles available, private auto offers the highest level of control and comfort for shopping trips. However, if the destination is nearby, walking or biking could be considered for health benefits. Public transit might be less preferred due to potential discomfort and time constraints. On-demand auto could be an option if the destination is not too far but would depend on availability and cost. The duration would likely be moderate as shopping trips are usually not too long.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.45}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.2}, {""primary_mode"": ""biking"", ""duration_minutes"": ""30-40"", ""weight"": 0.1}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""40-50"", ""weight"": 0.1}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.15}]"
6,14562581347610925279,57,female,unemployed,3,415882,three_plus,naics44_45,bachelors_degree,home,17,private_auto,10-20,55-64,$300k+,private_auto,30-40,"[""As a 55-64 year old with a bachelor's degree and high income, I likely have the resources for private auto or public transit. Since I'm unemployed, I might prioritize cost-effective options. With three vehicles available, private auto is feasible. However, public transit could be more economical. Given the unknown distance, I'll consider both options. The duration depends on traffic and route efficiency.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""30-40"", ""weight"": 0.4}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""40-50"", ""weight"": 0.3}, {""primary_mode"": ""auto_passenger"", ""duration_minutes"": ""20-30"", ""weight"": 0.2}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""30-40"", ""weight"": 0.1}]"
7,9576552710193662466,22,male,not_in_labor_force,1,0,zero,not_working,bachelors_degree,home,19,auto_passenger,10-20,18-24,Under $10k,on_demand_auto,50-60,"[""As someone in the 18-24 age group with a bachelor's degree, I prioritize convenience and cost-effectiveness. With no income and no vehicle, public transit is the most viable option. My walking distance is limited due to the lack of a vehicle and the need to return home. I am willing to spend more time to save money."", ""The target distance is unknown, but I will choose a mode that is accessible and affordable. Public transit is the most reliable choice for me. I have no other options except for walking or biking, but these are not efficient for longer distances."", ""Since I am not in the labor force, my primary concern is affordability and accessibility. Public transit is the most cost-effective option for me. I will choose a mode that minimizes my transportation costs."", ""I need to return home as soon as possible, but I am willing to spend more time to save money. Public transit is the most reliable and affordable option for me. I will choose a mode that allows me to return home without additional costs.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""30-40"", ""weight"": 0.4}, {""primary_mode"": ""walking"", ""duration_minutes"": ""40-50"", ""weight"": 0.3}, {""primary_mode"": ""biking"", ""duration_minutes"": ""30-40"", ""weight"": 0.2}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""50-60"", ""weight"": 0.1}]"
8,6348336647541494293,21,male,employed,4,19595,one,naics722511,high_school,work,8,auto_passenger,10-20,18-24,$10k-$50k,private_auto,20-30,"[""I need to get to work, which is likely within a short distance since I have a car and live in a household of 4. With a car available, driving is the most reliable option. However, if the distance is short, walking or biking might be feasible. Public transit could be an alternative if the route is convenient. The duration will depend on the distance and traffic, but I expect it to be around 20-30 minutes.""]","[{""primary_mode"": ""private_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.4}, {""primary_mode"": ""walking"", ""duration_minutes"": ""30-40"", ""weight"": 0.3}, {""primary_mode"": ""public_transit"", ""duration_minutes"": ""40-50"", ""weight"": 0.2}, {""primary_mode"": ""biking"", ""duration_minutes"": ""30-40"", ""weight"": 0.1}]"
9,8685067836990727789,41,male,employed,4,118306,zero,naics722513,high_school,work,8,public_transit,10-20,35-44,$100k-$150k,walking,40-50,"[""The user is in the 35-44 age group with a household size of 4 and is employed. They have no available vehicles, so private auto is not an option. Public transit is the most feasible mode of transportation given their income level and employment status. Walking and biking are possible if the distance is short, but since the target distance is unknown, the duration is estimated based on average walking and biking times. The duration for public transit is likely to be longer due to waiting times and transfers. The user's educational level is high school, which may influence their comfort with using public transit. The choice_weights are calculated based on the likelihood of each mode and the estimated durations.""]","[{""primary_mode"": ""public_transit"", ""duration_minutes"": ""30-40"", ""weight"": 0.55}, {""primary_mode"": ""walking"", ""duration_minutes"": ""40-50"", ""weight"": 0.25}, {""primary_mode"": ""biking"", ""duration_minutes"": ""30-40"", ""weight"": 0.15}, {""primary_mode"": ""on_demand_auto"", ""duration_minutes"": ""20-30"", ""weight"": 0.05}]"
